city,elevation,rainfall,mean_daily_high_temperature,mean_daily_low_temperature,population_density,latitude,longitude
saugus,1266.0,,,,,34.44,-118.52
sand city,72.0,,,,594.15,36.61722,-121.84833
newhall,1270.0,18.18,77.1,49.4,,34.38,-118.53
coarsegold,2218.0,,,,240.54,37.26222,-119.70111
manteca,36.0,,,,3899.95,37.80278,-121.22083
val verde,1188.0,,,,940.0,34.445,-118.658
leucadia,62.0,,,,,33.06806,-117.30333
shafter,348.0,7.34,78.8,48.8,520.0,35.50056,-119.27167
del rey oaks,82.0,,,,1510.44,36.59333,-121.835
colma,121.0,,,,796.93,37.67889,-122.45556
torrance,89.0,13.64,71.9,54.1,7200.0,33.83472,-118.34139
roseville,164.0,20.45,74.0,50.0,3210.2,38.7525,-121.28944
east garrison,154.0,,,,,36.65306,-121.7325
